"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Additional province code","Global non-response rate","Data quality flag","Household type","Number of households, 2006","Number of households, 2016","Median household total income (2015 constant dollars), 2005","Median household total income (2015 constant dollars), 2015","Median household total income (2015 constant dollars), % change","Median household after-tax income (2015 constant dollars), 2005","Median household after-tax income (2015 constant dollars), 2015","Median household after-tax income (2015 constant dollars), % change"
"546","Tillsonburg","CA","Ontario","35","",3.8,"00000","        One couple, with children in their census family",1540,1450,95251,101291,6.3,78193,87479,11.9
"546","Tillsonburg","CA","Ontario","35","",3.8,"00000","      One lone-parent census family",525,630,51254,47334,-7.6,45910,44745,-2.5
"546","Tillsonburg","CA","Ontario","35","",3.8,"00000","    Other census-family households",260,245,82664,94464,14.3,70325,84224,19.8
"546","Tillsonburg","CA","Ontario","35","",3.8,"00000","  Non-census-family households",1945,2430,31412,32565,3.7,29341,30352,3.4
"547","Norfolk","CA","Ontario","35","",5.0,"00000","Total – Household type including census family structure",24240,26010,63235,67338,6.5,55340,60073,8.6
"547","Norfolk","CA","Ontario","35","",5.0,"00000","  Census-family households",18125,18740,75913,81848,7.8,65661,72329,10.2
"547","Norfolk","CA","Ontario","35","",5.0,"00000","    Households consisting of only one census family without additional persons",17135,17590,74760,80448,7.6,64304,71031,10.5
"547","Norfolk","CA","Ontario","35","",5.0,"00000","      One couple, with or without children in their census family",15355,15500,78715,84834,7.8,68040,74496,9.5
"547","Norfolk","CA","Ontario","35","",5.0,"00000","        One couple, without children in their census family",7740,8925,65378,72983,11.6,56987,64887,13.9
"547","Norfolk","CA","Ontario","35","",5.0,"00000","        One couple, with children in their census family",7615,6575,93424,101824,9.0,80349,89055,10.8
"547","Norfolk","CA","Ontario","35","",5.0,"00000","      One lone-parent census family",1780,2085,43055,50496,17.3,39577,47232,19.3
"547","Norfolk","CA","Ontario","35","",5.0,"00000","    Other census-family households",985,1155,93645,101376,8.3,82891,90923,9.7
"547","Norfolk","CA","Ontario","35","",5.0,"00000","  Non-census-family households",6120,7265,31351,35028,11.7,28655,31848,11.1
"550","Guelph","CMA","Ontario","35","",3.5,"00000","Total – Household type including census family structure",51110,59280,79225,81223,2.5,67015,70503,5.2
"550","Guelph","CMA","Ontario","35","",3.5,"00000","  Census-family households",36835,41225,96174,102078,6.1,80996,87686,8.3
"550","Guelph","CMA","Ontario","35","",3.5,"00000","    Households consisting of only one census family without additional persons",33940,37330,94220,99552,5.7,79096,85332,7.9
"550","Guelph","CMA","Ontario","35","",3.5,"00000","      One couple, with or without children in their census family",29530,32205,100264,106626,6.3,84274,90822,7.8
"550","Guelph","CMA","Ontario","35","",3.5,"00000","        One couple, without children in their census family",12865,14760,83397,88743,6.4,70538,76880,9.0
"550","Guelph","CMA","Ontario","35","",3.5,"00000","        One couple, with children in their census family",16665,17450,113505,123116,8.5,94352,103839,10.1
"550","Guelph","CMA","Ontario","35","",3.5,"00000","      One lone-parent census family",4415,5125,54286,57890,6.6,48714,52395,7.6
"550","Guelph","CMA","Ontario","35","",3.5,"00000","    Other census-family households",2890,3890,116372,125321,7.7,100683,109867,9.1
"550","Guelph","CMA","Ontario","35","",3.5,"00000","  Non-census-family households",14275,18060,41190,43643,6.0,35794,38694,8.1
"553","Stratford","CA","Ontario","35","",3.9,"00000","Total – Household type including census family structure",12890,13845,64102,64772,1.0,55707,57216,2.7
"553","Stratford","CA","Ontario","35","",3.9,"00000","  Census-family households",8575,8770,84038,85961,2.3,71237,75053,5.4
"553","Stratford","CA","Ontario","35","",3.9,"00000","    Households consisting of only one census family without additional persons",8215,8260,83875,84721,1.0,71032,74128,4.4
"553","Stratford","CA","Ontario","35","",3.9,"00000","      One couple, with or without children in their census family",6980,6955,89738,91294,1.7,75523,79531,5.3
"553","Stratford","CA","Ontario","35","",3.9,"00000","        One couple, without children in their census family",3435,3855,72315,78999,9.2,62054,69291,11.7
"553","Stratford","CA","Ontario","35","",3.9,"00000","        One couple, with children in their census family",3545,3105,103133,110299,6.9,86903,94976,9.3
"553","Stratford","CA","Ontario","35","",3.9,"00000","      One lone-parent census family",1230,1300,46153,49952,8.2,43622,46400,6.4
"553","Stratford","CA","Ontario","35","",3.9,"00000","    Other census-family households",360,505,92915,101120,8.8,79445,89664,12.9
"553","Stratford","CA","Ontario","35","",3.9,"00000","  Non-census-family households",4320,5080,33950,36987,8.9,30538,33208,8.7
"555","London","CMA","Ontario","35","",3.5,"00000","Total – Household type including census family structure",184950,206445,66132,64743,-2.1,57165,57576,0.7
"555","London","CMA","Ontario","35","",3.5,"00000","  Census-family households",125810,134460,84118,85778,2.0,72184,75406,4.5
"555","London","CMA","Ontario","35","",3.5,"00000","    Households consisting of only one census family without additional persons",117640,125010,83345,84995,2.0,71418,74528,4.4
"555","London","CMA","Ontario","35","",3.5,"00000","      One couple, with or without children in their census family",100245,105115,90312,92887,2.9,76728,80730,5.2
"555","London","CMA","Ontario","35","",3.5,"00000","        One couple, without children in their census family",46175,52130,76072,79283,4.2,65362,69837,6.8
"555","London","CMA","Ontario","35","",3.5,"00000","        One couple, with children in their census family",54070,52980,104186,108816,4.4,87707,93632,6.8
"555","London","CMA","Ontario","35","",3.5,"00000","      One lone-parent census family",17395,19895,47082,47888,1.7,43142,45031,4.4
"555","London","CMA","Ontario","35","",3.5,"00000","    Other census-family households",8175,9450,95341,96735,1.5,83964,87205,3.9
"555","London","CMA","Ontario","35","",3.5,"00000","  Non-census-family households",59140,71985,35906,36167,0.7,31838,32822,3.1
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","Total – Household type including census family structure",43670,43175,60330,58185,-3.6,52666,52667,0.0
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","  Census-family households",30915,29330,76401,75224,-1.5,66130,67209,1.6
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","    Households consisting of only one census family without additional persons",29630,27770,76134,74533,-2.1,65803,66456,1.0
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","      One couple, with or without children in their census family",25590,23605,81435,81053,-0.5,70189,71668,2.1
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","        One couple, without children in their census family",12550,13175,67527,68845,2.0,58595,62013,5.8
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","        One couple, with children in their census family",13040,10435,97836,98701,0.9,82832,86196,4.1
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","      One lone-parent census family",4040,4165,41485,42304,2.0,39454,40514,2.7
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","    Other census-family households",1285,1560,87263,87040,-0.3,76594,79872,4.3
"556","Chatham-Kent","CA","Ontario","35","",4.3,"00000","  Non-census-family households",12755,13845,31002,30907,-0.3,28201,28390,0.7
"557","Leamington","CA","Ontario","35","",7.5,"00100","Total – Household type including census family structure",17265,17970,70732,68754,-2.8,60860,61012,0.2
"557","Leamington","CA","Ontario","35","",7.5,"00100","  Census-family households",13325,13245,82095,82256,0.2,71332,72895,2.2
"557","Leamington","CA","Ontario","35","",7.5,"00100","    Households consisting of only one census family without additional persons",12625,12425,81423,81485,0.1,70947,72076,1.6
"557","Leamington","CA","Ontario","35","",7.5,"00100","      One couple, with or without children in their census family",11295,10945,86501,86016,-0.6,74005,75784,2.4
"557","Leamington","CA","Ontario","35","",7.5,"00100","        One couple, without children in their census family",4900,5485,72219,73775,2.2,62116,65304,5.1
"557","Leamington","CA","Ontario","35","",7.5,"00100","        One couple, with children in their census family",6400,5460,98729,101263,2.6,83632,88073,5.3
"557","Leamington","CA","Ontario","35","",7.5,"00100","      One lone-parent census family",1330,1485,47178,49536,5.0,43293,46421,7.2
"557","Leamington","CA","Ontario","35","",7.5,"00100","    Other census-family households",695,820,98355,94528,-3.9,88059,86067,-2.3
"557","Leamington","CA","Ontario","35","",7.5,"00100","  Non-census-family households",3940,4720,35694,36254,1.6,32078,33028,3.0
"559","Windsor","CMA","Ontario","35","",3.5,"00000","Total – Household type including census family structure",125840,132910,70475,65983,-6.4,60508,58679,-3.0
"559","Windsor","CMA","Ontario","35","",3.5,"00000","  Census-family households",88270,89485,89370,86555,-3.1,75928,76016,0.1
"559","Windsor","CMA","Ontario","35","",3.5,"00000","    Households consisting of only one census family without additional persons",82090,82585,88216,85224,-3.4,74740,74762,0.0
"559","Windsor","CMA","Ontario","35","",3.5,"00000","      One couple, with or without children in their census family",69180,68010,96585,94343,-2.3,81115,81785,0.8
"559","Windsor","CMA","Ontario","35","",3.5,"00000","        One couple, without children in their census family",28695,31620,76856,77541,0.9,65675,68420,4.2
"559","Windsor","CMA","Ontario","35","",3.5,"00000","        One couple, with children in their census family",40485,36385,112102,113755,1.5,92668,97430,5.1
"559","Windsor","CMA","Ontario","35","",3.5,"00000","      One lone-parent census family",12905,14575,46444,48259,3.9,42880,45518,6.2
"559","Windsor","CMA","Ontario","35","",3.5,"00000","    Other census-family households",6185,6900,105883,102193,-3.5,93355,92252,-1.2
"559","Windsor","CMA","Ontario","35","",3.5,"00000","  Non-census-family households",37570,43430,36968,35571,-3.8,32690,32377,-1.0
"562","Sarnia","CA","Ontario","35","",3.5,"00000","Total – Household type including census family structure",39555,41990,69916,70785,1.2,59859,62161,3.8
"562","Sarnia","CA","Ontario","35","",3.5,"00000","  Census-family households",27875,27945,86717,90959,4.9,74085,79009,6.6
"562","Sarnia","CA","Ontario","35","",3.5,"00000","    Households consisting of only one census family without additional persons",26565,26425,85958,90579,5.4,73373,78323,6.7
"562","Sarnia","CA","Ontario","35","",3.5,"00000","      One couple, with or without children in their census family",23050,22610,93425,98657,5.6,78266,84282,7.7
"562","Sarnia","CA","Ontario","35","",3.5,"00000","        One couple, without children in their census family",11730,12895,77704,83663,7.7,66182,72900,10.2
"562","Sarnia","CA","Ontario","35","",3.5,"00000","        One couple, with children in their census family",11320,9710,113984,124579,9.3,93996,104124,10.8
"562","Sarnia","CA","Ontario","35","",3.5,"00000","      One lone-parent census family",3520,3820,43451,46622,7.3,41170,44346,7.7
"562","Sarnia","CA","Ontario","35","",3.5,"00000","    Other census-family households",1310,1515,99703,98923,-0.8,88243,88853,0.7
"562","Sarnia","CA","Ontario","35","",3.5,"00000","  Non-census-family households",11680,14045,36185,37756,4.3,32042,34076,6.3
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","Total – Household type including census family structure",6240,9005,64115,62150,-3.1,55951,56246,0.5
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","  Census-family households",4790,6620,71991,73534,2.1,61990,65865,6.3
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","    Households consisting of only one census family without additional persons",4425,6090,70303,71585,1.8,60961,64226,5.4
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","      One couple, with or without children in their census family",4050,5475,72714,74240,2.1,62939,66385,5.5
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","        One couple, without children in their census family",2595,3795,64480,65325,1.3,55898,59431,6.3
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","        One couple, with children in their census family",1460,1685,96667,100181,3.6,83117,86912,4.6
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","      One lone-parent census family",375,615,46644,49920,7.0,43350,46848,8.1
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","    Other census-family households",365,530,93349,95744,2.6,82484,88678,7.5
"565","Wasaga Beach","CA","Ontario","35","",4.5,"00000","  Non-census-family households",1450,2385,33342,36288,8.8,29986,32832,9.5
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","Total – Household type including census family structure",13415,13885,55481,58272,5.0,49638,52599,6.0
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","  Census-family households",9230,9095,68901,76792,11.5,60777,68311,12.4
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","    Households consisting of only one census family without additional persons",8845,8535,67853,75605,11.4,59534,67247,13.0
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","      One couple, with or without children in their census family",7625,7310,74312,82069,10.4,64766,72572,12.1
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","        One couple, without children in their census family",4105,4305,62354,70272,12.7,54970,63014,14.6
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","        One couple, with children in their census family",3520,3010,89206,101760,14.1,76217,88213,15.7
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","      One lone-parent census family",1225,1220,36325,45440,25.1,34841,43085,23.7
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","    Other census-family households",380,565,91943,92352,0.4,83087,83405,0.4
"566","Owen Sound","CA","Ontario","35","",5.0,"00000","  Non-census-family households",4180,4790,28170,30427,8.0,26061,28156,8.0
"567","Collingwood","CA","Ontario","35","",4.8,"00000","Total – Household type including census family structure",7315,9555,57799,64369,11.4,50859,56856,11.8
"567","Collingwood","CA","Ontario","35","",4.8,"00000","  Census-family households",4880,6200,72755,83392,14.6,64132,73304,14.3
"567","Collingwood","CA","Ontario","35","",4.8,"00000","    Households consisting of only one census family without additional persons",4525,5735,72406,82479,13.9,63109,72181,14.4
"567","Collingwood","CA","Ontario","35","",4.8,"00000","      One couple, with or without children in their census family",3830,4900,79665,88538,11.1,67613,77493,14.6
"567","Collingwood","CA","Ontario","35","",4.8,"00000","        One couple, without children in their census family",2095,2960,69918,80282,14.8,60185,69965,16.2
"567","Collingwood","CA","Ontario","35","",4.8,"00000","        One couple, with children in their census family",1735,1940,88462,104371,18.0,76185,90329,18.6
"567","Collingwood","CA","Ontario","35","",4.8,"00000","      One lone-parent census family",695,840,45457,48352,6.4,40384,44864,11.1
"567","Collingwood","CA","Ontario","35","",4.8,"00000","    Other census-family households",360,465,82455,96512,17.0,76590,87552,14.3
"567","Collingwood","CA","Ontario","35","",4.8,"00000","  Non-census-family households",2440,3360,36295,36838,1.5,31917,33323,4.4
"568","Barrie","CMA","Ontario","35","",3.4,"00000","Total – Household type including census family structure",63860,72535,78153,80788,3.4,66585,70409,5.7
"568","Barrie","CMA","Ontario","35","",3.4,"00000","  Census-family households",48780,54205,90729,95918,5.7,76603,82824,8.1
"568","Barrie","CMA","Ontario","35","",3.4,"00000","    Households consisting of only one census family without additional persons",43945,47550,88437,93300,5.5,74511,80424,7.9
"568","Barrie","CMA","Ontario","35","",3.4,"00000","      One couple, with or without children in their census family",38415,40090,94447,101403,7.4,78997,86594,9.6
"568","Barrie","CMA","Ontario","35","",3.4,"00000","        One couple, without children in their census family",15640,17445,76848,81550,6.1,65374,71057,8.7
"568","Barrie","CMA","Ontario","35","",3.4,"00000","        One couple, with children in their census family",22780,22640,106574,117852,10.6,88833,99634,12.2
"568","Barrie","CMA","Ontario","35","",3.4,"00000","      One lone-parent census family",5530,7455,51974,55040,5.9,47191,50587,7.2
"568","Barrie","CMA","Ontario","35","",3.4,"00000","    Other census-family households",4840,6655,109818,113604,3.4,94836,100425,5.9
"568","Barrie","CMA","Ontario","35","",3.4,"00000","  Non-census-family households",15080,18330,40802,43615,6.9,35996,38588,7.2
"569","Orillia","CA","Ontario","35","",4.4,"00000","Total – Household type including census family structure",12225,13475,55281,55802,0.9,49196,50291,2.2
"569","Orillia","CA","Ontario","35","",4.4,"00000","  Census-family households",8215,8420,72180,73745,2.2,62740,66271,5.6
"569","Orillia","CA","Ontario","35","",4.4,"00000","    Households consisting of only one census family without additional persons",7350,7495,70234,71168,1.3,61357,63577,3.6
"569","Orillia","CA","Ontario","35","",4.4,"00000","      One couple, with or without children in their census family",5915,5930,76515,80372,5.0,67096,71144,6.0
"569","Orillia","CA","Ontario","35","",4.4,"00000","        One couple, without children in their census family",2940,3455,66993,71635,6.9,58140,63735,9.6
"569","Orillia","CA","Ontario","35","",4.4,"00000","        One couple, with children in their census family",2975,2475,90036,94322,4.8,78199,82569,5.6
"569","Orillia","CA","Ontario","35","",4.4,"00000","      One lone-parent census family",1440,1565,44556,42304,-5.1,42463,40880,-3.7
"569","Orillia","CA","Ontario","35","",4.4,"00000","    Other census-family households",860,925,90163,94720,5.1,80341,85888,6.9
"569","Orillia","CA","Ontario","35","",4.4,"00000","  Non-census-family households",4010,5055,30956,32564,5.2,28024,29984,7.0
"571","Midland","CA","Ontario","35","",4.7,"00000","Total – Household type including census family structure",14225,15180,59175,59077,-0.2,51271,53180,3.7
"571","Midland","CA","Ontario","35","",4.7,"00000","  Census-family households",10230,10435,69293,73856,6.6,60701,66030,8.8
"571","Midland","CA","Ontario","35","",4.7,"00000","    Households consisting of only one census family without additional persons",9425,9470,68204,72081,5.7,59301,64437,8.7
"571","Midland","CA","Ontario","35","",4.7,"00000","      One couple, with or without children in their census family",7905,7890,74725,78244,4.7,64906,69293,6.8
"571","Midland","CA","Ontario","35","",4.7,"00000","        One couple, without children in their census family",4170,4750,64523,68736,6.5,56760,61359,8.1
"571","Midland","CA","Ontario","35","",4.7,"00000","        One couple, with children in their census family",3735,3135,88641,96000,8.3,75601,83968,11.1
"571","Midland","CA","Ontario","35","",4.7,"00000","      One lone-parent census family",1520,1580,41657,44565,7.0,39345,42128,7.1
"571","Midland","CA","Ontario","35","",4.7,"00000","    Other census-family households",805,965,85392,92365,8.2,78096,84294,7.9
"571","Midland","CA","Ontario","35","",4.7,"00000","  Non-census-family households",3990,4745,28812,32368,12.3,26940,29980,11.3
"575","North Bay","CA","Ontario","35","",4.8,"00000","Total – Household type including census family structure",29410,30125,58114,64199,10.5,51178,57029,11.4
"575","North Bay","CA","Ontario","35","",4.8,"00000","  Census-family households",20670,20140,73406,83430,13.7,63925,73147,14.4
"575","North Bay","CA","Ontario","35","",4.8,"00000","    Households consisting of only one census family without additional persons",19310,18550,72539,82138,13.2,62962,71871,14.1
"575","North Bay","CA","Ontario","35","",4.8,"00000","      One couple, with or without children in their census family",16595,15830,79073,89066,12.6,67898,77494,14.1
"575","North Bay","CA","Ontario","35","",4.8,"00000","        One couple, without children in their census family",8715,9100,66455,76299,14.8,57825,67342,16.5
"575","North Bay","CA","Ontario","35","",4.8,"00000","        One couple, with children in their census family",7880,6725,94094,110675,17.6,80585,94675,17.5
"575","North Bay","CA","Ontario","35","",4.8,"00000","      One lone-parent census family",2715,2720,42872,44592,4.0,39622,41946,5.9
"575","North Bay","CA","Ontario","35","",4.8,"00000","    Other census-family households",1365,1590,82738,96384,16.5,73713,86821,17.8
"575","North Bay","CA","Ontario","35","",4.8,"00000","  Non-census-family households",8740,9980,29227,33841,15.8,26895,30941,15.0
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","Total – Household type including census family structure",66080,70445,64813,71687,10.6,56087,62774,11.9
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","  Census-family households",46490,47000,82964,95617,15.3,70994,82145,15.7
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","    Households consisting of only one census family without additional persons",43680,43730,81859,94068,14.9,70011,80715,15.3
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","      One couple, with or without children in their census family",36915,36810,90121,103333,14.7,75614,87789,16.1
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","        One couple, without children in their census family",17890,19580,71551,83049,16.1,61531,72342,17.6
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","        One couple, with children in their census family",19030,17230,107213,129571,20.9,89538,107937,20.5
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","      One lone-parent census family",6770,6915,42004,51351,22.3,39239,47718,21.6
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","    Other census-family households",2805,3270,102718,114667,11.6,91867,101356,10.3
"580","Greater Sudbury","CMA","Ontario","35","",4.1,"00000","  Non-census-family households",19595,23445,31568,36754,16.4,28525,33343,16.9
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","Total – Household type including census family structure",5650,5515,43027,42466,-1.3,40060,40325,0.7
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","  Census-family households",3570,3205,56481,57664,2.1,51056,53993,5.8
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","    Households consisting of only one census family without additional persons",3375,3025,56078,56784,1.3,50964,52903,3.8
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","      One couple, with or without children in their census family",3045,2600,58698,59380,1.2,52288,55403,6.0
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","        One couple, without children in their census family",2170,1955,50606,54144,7.0,46885,50901,8.6
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","        One couple, with children in their census family",875,645,84231,86272,2.4,72933,77696,6.5
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","      One lone-parent census family",330,425,31544,40000,26.8,31032,38707,24.7
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","    Other census-family households",195,180,58005,73728,27.1,56278,68779,22.2
"582","Elliot Lake","CA","Ontario","35","",4.2,"00000","  Non-census-family households",2075,2305,26292,25163,-4.3,24759,24357,-1.6
"586","Timmins","CA","Ontario","35","",3.7,"00000","Total – Household type including census family structure",17390,17740,65817,73541,11.7,57382,63872,11.3
"586","Timmins","CA","Ontario","35","",3.7,"00000","  Census-family households",12375,12105,84149,97322,15.7,71489,82835,15.9
"586","Timmins","CA","Ontario","35","",3.7,"00000","    Households consisting of only one census family without additional persons",11790,11345,83789,96408,15.1,70769,81728,15.5
"586","Timmins","CA","Ontario","35","",3.7,"00000","      One couple, with or without children in their census family",10135,9570,90983,105367,15.8,76691,88819,15.8
"586","Timmins","CA","Ontario","35","",3.7,"00000","        One couple, without children in their census family",4585,5035,72622,85888,18.3,61702,73765,19.6
"586","Timmins","CA","Ontario","35","",3.7,"00000","        One couple, with children in their census family",5555,4535,105099,129506,23.2,88573,106833,20.6
"586","Timmins","CA","Ontario","35","",3.7,"00000","      One lone-parent census family",1650,1770,36276,49280,35.8,34626,45659,31.9
"586","Timmins","CA","Ontario","35","",3.7,"00000","    Other census-family households",590,760,94345,111957,18.7,82595,99072,19.9
"586","Timmins","CA","Ontario","35","",3.7,"00000","  Non-census-family households",5015,5630,29623,35026,18.2,26949,31946,18.5
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","Total – Household type including census family structure",33720,34530,58968,61814,4.8,51904,55470,6.9
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","  Census-family households",23255,22445,76940,83749,8.8,67005,73631,9.9
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","    Households consisting of only one census family without additional persons",22000,20945,76303,83030,8.8,66261,72746,9.8
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","      One couple, with or without children in their census family",18310,17325,84518,92261,9.2,72971,79776,9.3
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","        One couple, without children in their census family",9020,9550,66795,75236,12.6,58159,66771,14.8
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","        One couple, with children in their census family",9290,7780,105075,115930,10.3,88550,98954,11.7
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","      One lone-parent census family",3685,3615,40210,45395,12.9,37462,43341,15.7
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","    Other census-family households",1255,1500,95026,94549,-0.5,81735,86187,5.4
"590","Sault Ste. Marie","CA","Ontario","35","",4.5,"20000","  Non-census-family households",10465,12085,28124,31808,13.1,25942,29373,13.2
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","Total – Household type including census family structure",51430,52545,63521,68476,7.8,55100,60536,9.9
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","  Census-family households",34580,33750,82863,92241,11.3,70912,80079,12.9
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","    Households consisting of only one census family without additional persons",32835,31345,82337,91387,11.0,70514,79274,12.4
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","      One couple, with or without children in their census family",27350,26030,89943,99806,11.0,76173,85816,12.7
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","        One couple, without children in their census family",12890,14005,73502,82927,12.8,63542,72420,14.0
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","        One couple, with children in their census family",14455,12030,105172,122075,16.1,88770,104238,17.4
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","      One lone-parent census family",5490,5315,43203,52413,21.3,40095,48594,21.2
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","    Other census-family households",1745,2410,93825,103517,10.3,84438,93389,10.6
"595","Thunder Bay","CMA","Ontario","35","",4.4,"00000","  Non-census-family households",16850,18795,32257,37287,15.6,29332,33664,14.8
"598","Kenora","CA","Ontario","35","",6.1,"00000","Total – Household type including census family structure",6250,6475,70740,73331,3.7,59747,64247,7.5
"598","Kenora","CA","Ontario","35","",6.1,"00000","  Census-family households",4375,4240,90131,95951,6.5,76819,82796,7.8
"598","Kenora","CA","Ontario","35","",6.1,"00000","    Households consisting of only one census family without additional persons",4130,3895,89522,95593,6.8,75916,82261,8.4
"598","Kenora","CA","Ontario","35","",6.1,"00000","      One couple, with or without children in their census family",3490,3290,96844,104021,7.4,81585,88651,8.7
"598","Kenora","CA","Ontario","35","",6.1,"00000","        One couple, without children in their census family",1710,1805,81814,87110,6.5,69389,75728,9.1
"598","Kenora","CA","Ontario","35","",6.1,"00000","        One couple, with children in their census family",1775,1485,111520,128256,15.0,94031,108480,15.4
"598","Kenora","CA","Ontario","35","",6.1,"00000","      One lone-parent census family",640,605,48630,56021,15.2,43715,51621,18.1
"598","Kenora","CA","Ontario","35","",6.1,"00000","    Other census-family households",240,345,96152,104320,8.5,86504,92416,6.8
"598","Kenora","CA","Ontario","35","",6.1,"00000","  Non-census-family households",1880,2230,34906,37319,6.9,31493,33613,6.7
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","Total – Household type including census family structure",281760,306550,60719,70795,16.6,52123,60846,16.7
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","  Census-family households",185210,204140,79853,90955,13.9,67517,77396,14.6
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","    Households consisting of only one census family without additional persons",170760,183515,78916,89566,13.5,66605,75941,14.0
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","      One couple, with or without children in their census family",143000,155155,86123,96998,12.6,72096,81471,13.0
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","        One couple, without children in their census family",64505,72225,72968,83448,14.4,61454,70620,14.9
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","        One couple, with children in their census family",78495,82930,98271,110949,12.9,82132,92949,13.2
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","      One lone-parent census family",27760,28360,43396,53673,23.7,39984,48709,21.8
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","    Other census-family households",14445,20625,89204,103248,15.7,78380,91009,16.1
"602","Winnipeg","CMA","Manitoba","46","",3.3,"00000","  Non-census-family households",96550,102410,33767,40051,18.6,29726,34783,17.0
"603","Winkler","CA","Manitoba","46","",3.5,"00000","Total – Household type including census family structure",7585,10265,52166,64806,24.2,47746,57570,20.6
"603","Winkler","CA","Manitoba","46","",3.5,"00000","  Census-family households",5755,7870,61238,75139,22.7,54480,65920,21.0
"603","Winkler","CA","Manitoba","46","",3.5,"00000","    Households consisting of only one census family without additional persons",5530,7500,60785,74168,22.0,53835,65080,20.9
"603","Winkler","CA","Manitoba","46","",3.5,"00000","      One couple, with or without children in their census family",5160,6970,62609,76238,21.8,55353,66655,20.4
"603","Winkler","CA","Manitoba","46","",3.5,"00000","        One couple, without children in their census family",2075,2910,54012,69691,29.0,48424,60544,25.0
"603","Winkler","CA","Manitoba","46","",3.5,"00000","        One couple, with children in their census family",3090,4060,70844,80837,14.1,61936,71434,15.3
"603","Winkler","CA","Manitoba","46","",3.5,"00000","      One lone-parent census family",365,530,41323,47264,14.4,38657,44064,14.0
